"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"10k","l",200,19,100000,1072622,"wzcagctdlGEbCAJbixeIwpnyycuopcucydELpdJjubLBmpnIeEpmBBBeBoByJBBBojaoBBBBEtJeaBrBBwBfBBBfcDcAsBBBDDBBBBBBwuBBBBBzvvvvxgab",23.9068,21.38,38,11,11,118,21.57,4
"10k","l",500,41,100000,2711582,"wzcagckrqxEittAtdKGrrfqyycuopcuEqqGJByjdbBuBBLcmJyjLwBfDxxdAuoaErBByEnDcjdaafcsIbIfxBDwoBGuBAcBfrscByBBBBBBBBBBzvvvvxgab",18.2136,21.42,25,12,12,117,21.39,4
"10k","l",500,43,100000,1851396,"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqcGBABaxIBfADaJuquBqBrBBABBAjABBypBEBGAJlkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",19.2207,21.48,32,3,3,111,20.94,4
"8k","l",500,37,100000,2397459,"wyzagciHDzExLtiEDGEdtJyfycuoxruyawAGEBoBBrBAcBpAxJKyBjGKsJBarBDGqAAjBBwucfBqBBBnaAuuytjBnwDBaxorBBBaBpBBurBBBBBzvvvvxgxb",0,21.41,31,6,6,114,21.32,4
"100k","l",200,29,100000,1031426,"wzcagcmlnxEHakcjbGuELzyyycurEBuDcBobBwbHcahbbxsEhscujBaByBBBBBBpBBBBbBBBqucBBByBBsBBBBBBBBBBBBAByBBBBBBBBBBBBBBzvvvvxgab",74.3913,21.39,51,1,1,119,21.55,4
"10k","l",500,41,100000,2711582,"wzcagcorCxEbCHitAotbrfqyycuopcuEBLqJwyjlbBBBuLBLJyoLwBfwBLdDuoDErBByEnDfjdaLfcsIIIIxBDwKBBuBAdBJrscByBBBBBBBBBBzvvvvxgab",3.97785,21.43,31,14,14,118,21.44,4
"100k","l",500,41,100000,2822245,"wzcagcJDAaEEjukkBEAGshByycuopcuccBLBBBydmydtyBBBBABBBtBrBBjBBABsoBABBycAucCAbAABwAAeyCIBBaCBBABByBKBALABnBmBBEBzvvvvxgab",0,21.42,40,6,6,106,21.65,4
"10k","l",200,19,100000,1072622,"wzcagcArzCEHbHrdatkxawfyycubrBucBBEcIojuyDqBfwwqcEcyoBBuBBBBBBBBBbqJurnbEBBAwBwBBxByjBBBwGxpBjBksBBGdbijIuBaBBazvvvvxgab",24.0462,21.41,33,4,4,118,21.48,4
"10k","l",500,23,100000,1795050,"wzcagcuIdHEyqztBxvHxdlqyycuopcuBBoBvArjBuBjEEjBBpfyLeADdvnumjBnJdIJBBBEkBBkBwmvBABwlGBoyBtyfJdBotrBGBBBBBBBBBGBzvvvvxgab",13.1935,21.44,32,9,9,117,21.6,4
"1000k","l",200,33,100000,849326,"wzcagcGtlbEvyCBuEvdAioyyycuqocuycowAAEAAqGxarBBBBBBBBBBDqBJBApBABBbBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvncvvfcaxgab",18.871,21.48,38,2,2,112,21.33,4
